CD_MUNICIPIO,NM_MUNICIPIO,NM_LOCAL_VOTACAO_ORIGINAL,NM_BAIRRO,Bairro,Local,Endereco,end,end_padrao,latitude,longitude,zona
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01 DO RIACHO FUNDO II,RIACHO FUNDO II,,,,,,-15.9020411,-48.0479073,10
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 26 (ANTIGA EC 30),CEILANDIA NORTE,,,,,,-15.7863711,-48.1261757,16
97012.0,BRASÍLIA,INSTITUTO FEDERAL DE BRASÍLIA - IFB SÃO SEBASTIÃO,SAO BARTOLOMEU - São Sebastião,,,,,,-15.8915579,-47.7804287,18
97012.0,BRASÍLIA,ESCOLA CLASSE 08,AREA OCTOGONAL SUL,,,,,,-15.8032032,-47.9454351,11
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01,CRUZEIRO VELHO,,,,,,-15.7847405,-47.9369438,11
97012.0,BRASÍLIA,CENTRO DE ENSINO 23-(CENTRO EDUCACIONAL 11),CEILANDIA NORTE,,,,,,-15.8228731,-48.1250636,8
97012.0,BRASÍLIA,ESCOLA CLASSE 43,CEILANDIA SUL,,,,,,-15.8438018,-48.1103143,20
97012.0,BRASÍLIA,ESCOLA CLASSE 01,CEILANDIA SUL,,,,,,-15.833682,-48.0915634,8
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL CERÂMICA SÃO PAULO,SAO SEBASTIAO,,,,,,-15.8878214,-47.7792501,18
97012.0,BRASÍLIA,ESCOLA DNA,ASA NORTE,,,,,,-15.7745027,-47.8774499,14
97012.0,BRASÍLIA,COLÉGIO DOM JOSÉ,LAGO SUL,,,,,,-15.8240728,-47.8067186,18
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 08,SOBRADINHO II,,,,,,-15.6394373,-47.8281354,5
97012.0,BRASÍLIA,COLEGIO SAGRADA FAMILIA,ASA NORTE,,,,,,-15.7714746,-47.8925289,14
97012.0,BRASÍLIA,ESCOLA CLASSE 510 DE SAMAMBAIA,SAMAMBAIA,,,,,,-15.8808134,-48.0718451,21
97012.0,BRASÍLIA,CEM SETOR LESTE SGAS 611/612,ASA SUL,,,,,,-15.83070308,-47.90696581,1
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 03,PLANALTINA,,,,,,-15.6031861,-47.6503582,6
97012.0,BRASÍLIA,CENTRO UNIVERSITARIO EURO AMERICANO - UNIEURO,AGUAS CLARAS - TAGUATINGA SUL,,,,,,-15.8322424,-48.037452,15
97012.0,BRASÍLIA,ESCOLA CLASSE 318,SAMAMBAIA,,,,,,-15.8756627,-48.0629318,13
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01,CRUZEIRO VELHO,,,,,,-15.7847405,-47.9369438,11
97012.0,BRASÍLIA,ESCOLA CLASSE 15,CEILANDIA SUL,,,,,,-15.8374033,-48.10026,8
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 504 DE SAMAMBAIA,SAMAMBAIA,,,,,,-15.8825611,-48.0786155,21
97012.0,BRASÍLIA,ESCOLA CLASSE 15,SOBRADINHO,,,,,,-15.6523248,-47.8088442,5
97012.0,BRASÍLIA,ESCOLA CLASSE 206 DE SANTA MARIA,SANTA MARIA,,,,,,-16.02618943,-48.03004132,4
97012.0,BRASÍLIA,CIL - CENTRO INTERESCOLAR DE LINGUAS DO GAMA,SETOR CENTRAL,,,,,,-16.0183513,-48.0684497,17
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 1,GUARA I,,,,,,-15.812763,-47.9883101,9
97012.0,BRASÍLIA,CED 08 - CENTRO EDUCACIONAL 08 DO GAMA,SETOR SUL,,,,,,-16.0230815,-48.0783133,17
97012.0,BRASÍLIA,FUNDACAO LOGOSOFICA,ASA NORTE,,,,,,-15.7767455,-47.8903121,14
97012.0,BRASÍLIA,ESCOLA CLASSE 43,CEILANDIA SUL,,,,,,-15.8438018,-48.1103143,20
97012.0,BRASÍLIA,ESCOLA CLASSE 07,PLANALTINA,,,,,,-15.642034,-47.6635355,6
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 14 (ANTIGO CE 15),CEILANDIA NORTE,,,,,,-15.7930996,-48.1304582,16
97012.0,BRASÍLIA,ESCOLA CLASSE 203,SANTA MARIA,,,,,,-16.03712861,-48.03323289,4
97012.0,BRASÍLIA,ESCOLA CLASSE 19,CEILANDIA SUL,,,,,,-15.8357217,-48.0972967,8
97012.0,BRASÍLIA,COLEGIO SAGRADA FAMILIA,ASA NORTE,,,,,,-15.7714746,-47.8925289,14
97012.0,BRASÍLIA,CENTRO DE EDUCAÇÃO NERY LACERDA - CENEL,SOBRADINHO II,,,,,,-15.6368976,-47.8445617,5
97012.0,BRASÍLIA,COLÉGIO VITÓRIA RÉGIA UNIDADE 4 (ANTIGO COLÉGIO MAXIMUS),TAGUATINGA NORTE,,,,,,-15.80934645,-48.02470932,19
97012.0,BRASÍLIA,CEF 10 - CENTRO DE ENSINO FUNDAMENTAL 10 DO GAMA,SETOR OESTE,,,,,,-16.0143661,-48.0748285,17
97012.0,BRASÍLIA,COLEGIO JESUS MARIA JOSE,TAGUATINGA NORTE,,,,,,-15.80389749,-48.0732633,19
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL METROPOLITANA,NUCLEO BANDEIRANTE,,,,,,-15.8816041,-47.9748552,10
97012.0,BRASÍLIA,CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES,ARAPOANGA,,,,,,-15.6405917,-47.6291601,6
97012.0,BRASÍLIA,CAIC HELENA REIS,SAMAMBAIA NORTE,,,,,,-15.8769041,-48.1054568,13
97012.0,BRASÍLIA,ESCOLA CLASSE N 8,TAGUATINGA NORTE,,,,,,-15.8011509,-48.0654599,19
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 02,CEILANDIA NORTE,,,,,,-15.8070969,-48.1091737,8
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 01,PLANALTINA,,,,,,-15.6229915,-47.6537167,6
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 02,PLANALTINA,,,,,,-15.6212827,-47.6537025,6
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 414,SAMAMBAIA,,,,,,-15.85855639,-48.07198654,13
97012.0,BRASÍLIA,CENTRO EDUCACIONAL POMPILIO MARQUES DE SOUZA,PLANALTINA,,,,,,-15.5990015,-47.6827141,6
97012.0,BRASÍLIA,CENTRO DE ENSINO MÉDIO 1 DO RIACHO FUNDO I,RIACHO FUNDO,,,,,,-15.8881341,-48.01412246,10
97012.0,BRASÍLIA,ESCOLA CLASSE 41,TAGUATINGA NORTE,,,,,,-15.8245379,-48.0873923,3
97012.0,BRASÍLIA,CEMAB - CENTRO DE ENSINO MÉDIO AVE BRANCA,TAGUATINGA SUL,,,,,,-15.83575074,-48.05360304,15
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL METROPOLITANA,NUCLEO BANDEIRANTE,,,,,,-15.8816041,-47.9748552,10
97012.0,BRASÍLIA,ESCOLA CLASSE 66,CEILANDIA NORTE,,,,,,-15.8182333,-48.1532428,16
97012.0,BRASÍLIA,CENTRO DE ENSINO ESPECIAL DO GAMA,SETOR CENTRAL,,,,,,-16.0146691,-48.0634003,17
97012.0,BRASÍLIA,ESCOLA CLASSE 65,CEILANDIA NORTE,,,,,,-15.8064301,-48.1604283,16
97012.0,BRASÍLIA,CENTRO EDUCACIONAL JARDINS MANGUEIRAL,JARDINS MANGUEIRAL,,,,,,-15.8904524,-47.8121724,18
97012.0,BRASÍLIA,ESCOLA CLASSE 15,CEILANDIA SUL,,,,,,-15.8374033,-48.10026,8
97012.0,BRASÍLIA,ESCOLA CLASSE 45,TAGUATINGA NORTE,,,,,,-15.79459442,-48.10754132,3
97012.0,BRASÍLIA,COLÉGIO IDEAL - A/E 31,TAGUATINGA NORTE,,,,,,-15.8014501,-48.0636285,19
97012.0,BRASÍLIA,COLÉGIO PRESBITERIANO MACKENZIE,LAGO SUL,,,,,,-15.8501601,-47.8965849,18
97012.0,BRASÍLIA,ESCOLA CLASSE 28,CEILANDIA NORTE,,,,,,-15.8204652,-48.1179437,8
97012.0,BRASÍLIA,CENTRO DE ENSINO 20,CEILANDIA NORTE,,,,,,-15.80122,-48.1166533,8
97012.0,BRASÍLIA,ESCOLA FRANCESA FRANÇOIS MITTERRAND,LAGO SUL,,,,,,-15.8558206,-47.8530331,18
97012.0,BRASÍLIA,CENTRO DE ENSINO MARIA DO ROSARIO G.SILVA,CEILANDIA NORTE,,,,,,-15.8098917,-48.1228517,8
97012.0,BRASÍLIA,COLÉGIO OBJETIVO - RUA 03,TAGUATINGA NORTE,,,,,,-15.8130752,-48.0123053,19
97012.0,BRASÍLIA,ESCOLA CLASSE 06,CRUZEIRO NOVO,,,,,,-15.7943023,-47.9378112,11
97012.0,BRASÍLIA,CEF 10 - CENTRO DE ENSINO FUNDAMENTAL 10 DO GAMA,SETOR OESTE,,,,,,-16.0143661,-48.0748285,17
97012.0,BRASÍLIA,ESCOLA CLASSE 52,CEILANDIA SUL,,,,,,-15.8514925,-48.1210664,20
97012.0,BRASÍLIA,ESCOLA CLASSE 01,CEILANDIA SUL,,,,,,-15.833682,-48.0915634,8
97012.0,BRASÍLIA,ESCOLA CLASSE CERAMICA DA BENCAO,SAO SEBASTIAO,,,,,,-15.90465062,-47.7694145,18
97012.0,BRASÍLIA,CENTRO DE ENSINO MARIA DO ROSARIO G.SILVA,CEILANDIA NORTE,,,,,,-15.8098917,-48.1228517,8
97012.0,BRASÍLIA,CENTRO DE ENSINO 16,CEILANDIA NORTE,,,,,,-15.8030354,-48.1084511,8
97012.0,BRASÍLIA,CENTRO EDUCACIONAL 06,CEILANDIA SUL,,,,,,-15.8441334,-48.1157958,20
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 312,SAMAMBAIA,,,,,,-15.87641982,-48.06820414,13
97012.0,BRASÍLIA,CENTRO DE ENSINO FUNDAMENTAL 411,SAMAMBAIA NORTE,,,,,,-15.87770285,-48.11042322,13
97012.0,BRASÍLIA,ESCOLA CLASSE 07,VILA SAO JOSE,,,,,,-15.6649442,-48.2020659,16
